id,model,name,duration,total_requests,total_requests_mean,total_requests_stdev,total_requests_min,total_requests_p1,total_requests_p25,total_requests_p50,total_requests_p75,total_requests_p99,total_requests_max,e2e_mean,e2e_stdev,e2e_min,e2e_p1,e2e_p25,e2e_p50,e2e_p75,e2e_p99,e2e_max,ttft_mean,ttft_stdev,ttft_min,ttft_p1,ttft_p25,ttft_p50,ttft_p75,ttft_p99,ttft_max,itt_mean,itt_stdev,itt_min,itt_p1,itt_p25,itt_p50,itt_p75,itt_p99,itt_max,tps_mean,tps_stdev,tps_min,tps_p1,tps_p25,tps_p50,tps_p75,tps_p99,tps_max,duration,input_tokens_expected,output_tokens_expected,input_tokens_actual_mean,output_tokens_actual_mean,input_tps_mean,input_tps_stdev,input_tps_min,input_tps_p1,input_tps_p25,input_tps_p50,input_tps_p75,input_tps_p99,input_tps_max,output_tps_mean,output_tps_stdev,output_tps_min,output_tps_p1,output_tps_p25,output_tps_p50,output_tps_p75,output_tps_p99,output_tps_max
garbage_test_data,meta-llama/Llama-3.1-70B-Instruct,128,77.11435795,1330,17.24711241,361.4322036,0,0,0.3521902986,0.3665835664,1.3187485,26.6223881,169.5901666,7.161457794,1.054990207,4.197267294,4.689576387,6.250590563,6.979482174,8.294799328,8.348405123,8.387337208,246.6890215,132.506589,48.15816879,66.66517258,124.2229939,232.5191498,312.7598763,511.6226673,597.3994732,13.85530179,2.0186123,8.250542299,8.805414001,12.09758374,13.65308867,15.88985533,16.30210876,16.47264685,26493.49634,479429.8038,170.9009418,873.0533483,3168.205433,5934.842158,11595.92201,25329.2014,40622.95701,77.11435795,1000,500,1034,500,18866.72014,401503.533,361.4128991,361.4128991,391.3353244,402.1007147,8220.353113,35987.67196,99618.93502,8635.429054,8015.346214,170.9009418,870.3228851,3164.052875,5921.20991,11542.03444,24973.26531,38107.60165
garbage_test_data,meta-llama/Llama-3.1-70B-Instruct,4,71.66975784,90,1.255759789,19.62295755,0,0,0.6465174595,0.649099235,0.6539351366,1.29670986,1.93477117,3.115841852,0.03540497053,3.071272135,3.071272135,3.094944477,3.100618839,3.111946583,3.176272631,3.207823992,44.82847585,19.58498602,25.33054352,25.33054352,32.97758102,38.53416443,48.28047752,92.86952019,125.1029968,6.153493765,0.04258123415,6.045698403,6.045698403,6.130799024,6.13929609,6.152245707,6.2506433,6.320357084,1927.467196,29807.7244,97.57371258,224.2420397,382.5632615,514.8453848,734.3626183,1313.721287,2474.881392,71.66975784,1000,500,1034,500,1356.344755,5346.432414,656.6866507,656.6866507,668.1453885,674.2073642,1338.493291,2010.05574,20345.22549,628.2487602,424.5532706,58.5314336,176.5588754,381.5016442,513.4046446,730.4456807,1281.017843,2161.583654
garbage_test_data,meta-llama/Llama-3.1-70B-Instruct,8,54.39643908,130,2.389862318,72.0103789,0,0,0.6325956502,0.641791328,0.6793999296,2.516657019,28.81633494,3.211140499,0.06528142958,3.088251829,3.088607311,3.16768837,3.17277956,3.305572271,3.312434912,3.312881708,69.68940955,45.67931947,27.21357346,27.52518654,40.26770592,45.55797577,69.95606422,156.5785408,156.7811966,6.29466433,0.06903520438,6.045739971,6.045922965,6.263964162,6.270981982,6.322558275,6.48269768,6.486175055,3670.049985,107278.0806,49.16715536,308.5232708,497.8715018,793.5234198,1349.647457,3386.57526,7921.788687,54.39643908,1000,500,1034,500,2619.236656,61912.78501,654.4724825,654.4724825,665.1537701,1249.077202,1325.778452,3342.925528,30717.49053,1196.235327,1466.347706,49.16715536,308.5232708,496.8327627,790.6416419,1342.704531,3290.193196,6928.852642
garbage_test_data,meta-llama/Llama-3.1-70B-Instruct,16,47.73485994,210,4.399304663,152.8585418,0,0,0.6035755735,0.6093895562,1.147489447,2.428279474,3.017645978,3.421912562,0.1214363867,3.160747766,3.161967278,3.326997519,3.357175112,3.562806845,3.598119259,3.598816156,115.4774064,91.45525335,39.45803642,39.68763351,47.85013199,67.88182259,208.4331512,314.9588108,326.2667656,6.625318832,0.1411996476,6.123652678,6.200496563,6.559878409,6.572457736,6.678365753,7.009923816,7.026569638,6758.372326,182573.1883,32.05512674,295.55488,773.6401451,1359.81752,2567.752195,7213.115853,19475.4128,47.73485994,1000,500,1034,500,4867.560129,145054.4181,618.4801667,618.4801667,628.8208815,1190.819963,1891.248562,3023.434743,81460.38817,2202.859298,2772.513198,29.9202043,283.8090378,765.6107254,1342.135106,2516.203205,6752.943207,14645.36863
garbage_test_data,meta-llama/Llama-3.1-70B-Instruct,2,106.6757867,70,0.6561941737,0.1102480452,0,0,0.6571155252,0.6573058307,0.6574658941,0.6576620226,1.29967117,3.047547521,0.01199966762,3.040370941,3.040370941,3.04158926,3.042490482,3.043678999,3.076591969,3.077413321,31.5185036,12.26057036,24.34444427,24.34444427,25.69556236,26.59010887,27.31180191,61.35416031,62.73555756,6.043625683,0.003061510984,6.036694876,6.036694876,6.042061922,6.043586081,6.04472705,6.045810684,6.057329312,1006.955565,9520.782817,58.17765318,310.6732745,329.0193196,330.9182552,332.8381259,334.8596227,352.2776644,106.6757867,1000,500,1034,500,698.5026217,113.7741612,672.2517786,672.2517786,679.4515984,679.6161533,679.7885129,680.0826742,1355.877253,328.2123744,25.52543745,57.62673115,124.5273871,329.0193196,330.9053584,332.8120333,334.8596227,352.2502134
garbage_test_data,meta-llama/Llama-3.1-70B-Instruct,1,183.1092818,60,0.3276731765,0.04271636574,0,0.3221536059,0.3277432186,0.32781156,0.3279387642,0.328254548,0.3282848135,3.051496967,0.01341433163,3.045303106,3.045303106,3.048998356,3.050000429,3.050853252,3.052661419,3.153387547,49.98899698,13.20583156,44.20638084,44.20638084,47.73855209,48.54106903,49.41082001,51.84984207,150.383234,6.014513428,0.001403637623,6.011706316,6.011706316,6.013601242,6.014261074,6.015682507,6.016779041,6.017340926,503.0644821,3780.837353,33.56298538,166.1811899,166.2300911,166.2728652,166.2886916,166.3252966,166.3473334,183.1092818,1000,500,1034,500,344.7483295,43.73229133,338.4775653,338.4775653,338.8906985,338.9837263,339.0769907,339.4445311,676.7937099,163.971474,17.13950813,33.36146926,36.56349031,166.2270149,166.2706989,166.2886916,166.3252966,166.3408156
garbage_test_data,meta-llama/Llama-3.1-70B-Instruct,64,57.90179777,690,11.91672844,247.4648962,0,0,0.4622403764,0.4862739024,0.9725460007,18.57497653,143.827721,5.004003412,0.4934705138,3.088767052,4.418282747,4.535626411,4.761287689,5.566635132,5.624444485,5.629369259,184.2675593,107.4993281,40.51566124,48.7639904,86.57026291,170.5746651,258.7082386,361.4373207,451.6954422,9.656786741,0.8567433006,6.068814494,8.394632167,8.877651008,9.263122727,10.55394958,10.853195,11.02503364,18301.77868,414607.27,164.7730397,164.7730397,2018.711506,3783.734667,7447.894449,19151.31365,32153.96433,57.90179777,1000,500,1034,500,13018.06391,351558.8323,477.4996181,477.4996181,503.0039171,520.166473,1904.722944,33574.95364,90780.66995,5965.377667,6320.740819,164.7730397,164.7730397,2015.657241,3775.176219,7417.890115,18837.82488,30432.61861
garbage_test_data,meta-llama/Llama-3.1-70B-Instruct,32,47.69047737,370,7.758362264,244.9913725,0,0,0.5259913573,0.5562784618,1.058291646,7.407852744,117.800983,3.981377698,0.2551924231,3.658712149,3.668982267,3.753453493,3.793157101,4.290901661,4.316286325,4.329212904,150.4277049,113.207233,39.17145729,39.53123093,70.90759277,94.0155983,207.0887089,392.6312923,447.7388859,7.675964675,0.3769816238,6.998066912,6.998379866,7.378431504,7.43950345,7.918067351,8.418426246,8.448654282,11918.56064,324899.1199,222.2986395,402.1033709,1241.810705,2237.928464,4404.053429,13589.92842,27715.42052,47.69047737,1000,500,1034,500,8669.608367,295870.6849,561.2855525,561.2855525,577.9712744,582.4581958,1122.615418,27063.06527,73326.99301,3884.798123,4926.100182,219.1839465,397.8026889,1237.711457,2228.94311,4372.717901,13227.81434,25368.77419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h200_80b_fp8_1000_500_2P6D_tp2,RedHatAI/Qwen3-Next-80B-A3B-Instruct-FP8-dynamic,32,763.735772,5000,6.54545745,9.53744036,0,0.52334134,2.87600214,4.89090025,8.05933578,17.4348589,28.18336,4.87121545,0.23745378,3.87437844,4.20141268,4.75866818,4.94338465,5.0316503,5.13700867,5.25067234,205.237071,59.0669502,147.50433,158.202887,170.731783,183.395147,235.250711,270.008326,294.174671,9.34930013,0.45913204,7.24474414,8.05782077,9.12939045,9.50819839,9.67859027,9.82354065,9.99566644,9872.45968,146920.366,111.507242,818.933313,1765.42688,2613.22458,4034.10399,7795.75563,13110.743,763.735772,1000,500,1008,500,6636.16837,14423.4913,503.227277,535.857919,3028.72545,5192.97872,8764.65337,18273.8596,20292.0971,3273.36196,2314.60114,111.507242,818.671924,1763.88695,2609.15891,4019.69305,7672.1635,12215.7008
